date,clade
2/28/22,21K (Omicron)
3/29/22,21L (Omicron)
4/6/22,21K (Omicron)
3/9/22,21K (Omicron)
3/16/22,21L (Omicron)
2/28/22,21K (Omicron)
12/21/21,21K (Omicron)
12/23/21,21K (Omicron)
3/10/22,21K (Omicron)
3/9/22,21K (Omicron)
2/27/22,21K (Omicron)
2/26/22,21K (Omicron)
3/10/22,21K (Omicron)
4/6/22,21L (Omicron)
3/9/22,21K (Omicron)
3/24/22,21L (Omicron)
3/6/22,21L (Omicron)
3/20/22,21L (Omicron)
3/6/22,21K (Omicron)
2/24/22,21K (Omicron)
3/19/22,21K (Omicron)
3/10/22,21K (Omicron)
3/4/22,21K (Omicron)
3/5/22,21K (Omicron)
3/24/22,21L (Omicron)
3/23/22,21L (Omicron)
3/31/22,21L (Omicron)
3/30/22,21L (Omicron)
4/5/22,22C (Omicron)
3/30/22,21L (Omicron)
4/5/22,recombinant
3/28/22,21L (Omicron)
3/24/22,21L (Omicron)
3/29/22,21L (Omicron)
4/7/22,21L (Omicron)
4/7/22,21L (Omicron)
3/22/22,21L (Omicron)
4/7/22,21L (Omicron)
4/6/22,21L (Omicron)
3/22/22,21K (Omicron)
3/29/22,21K (Omicron)
4/6/22,21L (Omicron)
3/22/22,21L (Omicron)
12/20/21,21K (Omicron)
3/22/22,21L (Omicron)
4/5/22,21L (Omicron)
4/4/22,21L (Omicron)
12/21/21,21K (Omicron)
12/21/21,21K (Omicron)
3/18/22,21K (Omicron)
3/16/22,21L (Omicron)
3/21/22,21L (Omicron)
4/1/22,22C (Omicron)
3/19/22,21K (Omicron)
3/19/22,21K (Omicron)
4/5/22,21L (Omicron)
12/22/21,21K (Omicron)
3/25/22,21L (Omicron)
3/23/22,21L (Omicron)
3/29/22,21L (Omicron)
3/16/22,21K (Omicron)
3/21/22,21L (Omicron)
3/31/22,21L (Omicron)
12/21/21,21K (Omicron)
12/22/21,21K (Omicron)
3/24/22,21L (Omicron)
3/22/22,21L (Omicron)
3/16/22,21L (Omicron)
3/28/22,21L (Omicron)
3/24/22,21L (Omicron)
3/23/22,21L (Omicron)
12/22/21,21K (Omicron)
4/2/22,21K (Omicron)
4/3/22,21L (Omicron)
3/28/22,21K (Omicron)
3/29/22,21K (Omicron)
4/6/22,21K (Omicron)
4/8/22,21K (Omicron)
4/2/22,21L (Omicron)
3/31/22,21L (Omicron)
3/30/22,21L (Omicron)
3/30/22,21L (Omicron)
3/23/22,21K (Omicron)
4/4/22,21L (Omicron)
3/31/22,21L (Omicron)
3/29/22,21L (Omicron)
3/22/22,21K (Omicron)
3/30/22,21K (Omicron)
4/1/22,21K (Omicron)
3/22/22,21L (Omicron)
3/29/22,21L (Omicron)
3/22/22,21K (Omicron)
3/30/22,21L (Omicron)
3/28/22,21L (Omicron)
3/31/22,21K (Omicron)
3/23/22,21K (Omicron)
3/28/22,21K (Omicron)
12/23/21,21K (Omicron)
12/22/21,21K (Omicron)
3/25/22,21K (Omicron)
3/26/22,21L (Omicron)
3/30/22,21K (Omicron)
3/24/22,21L (Omicron)
3/30/22,21K (Omicron)
12/23/21,21K (Omicron)
4/8/22,21K (Omicron)
3/30/22,21L (Omicron)
3/30/22,21L (Omicron)
3/29/22,21K (Omicron)
3/27/22,21L (Omicron)
3/28/22,21L (Omicron)
3/29/22,21L (Omicron)
3/29/22,21L (Omicron)
3/26/22,21L (Omicron)
2/14/22,21K (Omicron)
3/25/22,21K (Omicron)
3/31/22,21L (Omicron)
3/28/22,21L (Omicron)
3/22/22,21K (Omicron)
4/16/22,21L (Omicron)
3/24/22,21L (Omicron)
4/16/22,21L (Omicron)
4/16/22,21L (Omicron)
3/29/22,21K (Omicron)
3/31/22,21K (Omicron)
3/22/22,21K (Omicron)
3/22/22,21L (Omicron)
3/28/22,21L (Omicron)
3/29/22,21L (Omicron)
3/30/22,21L (Omicron)
1/4/22,21K (Omicron)
2/4/22,21K (Omicron)
1/25/22,21K (Omicron)
1/12/22,21K (Omicron)
4/5/22,21L (Omicron)
4/16/22,22C (Omicron)
1/4/22,21K (Omicron)
4/4/22,21L (Omicron)
4/9/22,21K (Omicron)
4/2/22,21K (Omicron)
4/5/22,21L (Omicron)
4/19/22,21L (Omicron)
4/3/22,21L (Omicron)
3/25/22,21L (Omicron)
4/13/22,21L (Omicron)
4/12/22,21L (Omicron)
3/24/22,21K (Omicron)
4/4/22,21L (Omicron)
4/19/22,21L (Omicron)
4/4/22,21L (Omicron)
4/3/22,22C (Omicron)
3/31/22,21K (Omicron)
4/4/22,21L (Omicron)
4/14/22,22C (Omicron)
3/22/22,21L (Omicron)
4/1/22,21L (Omicron)
4/12/22,22C (Omicron)
4/19/22,21L (Omicron)
4/4/22,21L (Omicron)
3/28/22,21K (Omicron)
4/19/22,21L (Omicron)
3/27/22,21K (Omicron)
4/19/22,21L (Omicron)
3/25/22,21L (Omicron)
4/19/22,22C (Omicron)
1/3/22,21K (Omicron)
3/29/22,21K (Omicron)
3/28/22,21K (Omicron)
3/23/22,21L (Omicron)
4/11/22,21K (Omicron)
3/25/22,21L (Omicron)
4/19/22,21L (Omicron)
3/23/22,21L (Omicron)
3/23/22,21K (Omicron)
3/23/22,21L (Omicron)
4/18/22,21L (Omicron)
4/11/22,22C (Omicron)
3/5/22,21J (Delta)
4/6/22,22C (Omicron)
