,IDPHExport20220405043254528.csv_case_count,IDPHExport20220405043254528.csv_deaths,IDPHExport20220405043254528.csv_TotalTestedChange,IDPHExport20220405043256767.csv_case_count,IDPHExport20220405043256767.csv_deaths,IDPHExport20220405043256767.csv_TotalTestedChange,IDPHExport20220405043529843.csv_hosp,IDPHExport20220405043533352.csv_hosp,IDPHExport20220405044003912.csv_Vaccinations,IDPHExport20220405044012526.csv_Vaccinations,positivity_rate,percent_fully_vaccinated,IDPHExport20220202114605524.csv_hosp
5/30/21,131,5,8839,152,3,8063,23,19,1117892,1118660,0.016743581,0.423947421,
5/31/21,102,4,5778,140,23,5319,22,19,1120241,1120635,0.021807696,0.424767052,
6/1/21,62,4,5135,148,2,5563,23,20,1125172,1124824,0.019629837,0.426495785,
6/2/21,9,0,5178,189,4,6325,21,18,1130041,1129340,0.017212901,0.428274749,
6/3/21,128,7,10371,138,1,9435,21,18,1138454,1136789,0.013430274,0.431281455,
6/4/21,106,1,13085,108,2,13154,20,18,1147314,1145231,0.008155799,0.434561119,
6/5/21,93,9,10404,116,7,9572,19,17,1155131,1152389,0.010462555,0.43739969,
6/6/21,80,7,8420,69,4,8789,21,17,1161092,1158084,0.00865826,0.439609132,
6/7/21,56,6,6349,42,5,6204,21,17,1170246,1164113,0.007806899,0.442487131,
6/8/21,104,14,6148,31,-10,6419,18,16,1178761,1172645,0.010742421,0.445718458,
6/9/21,93,7,8791,56,3,7515,18,15,1188140,1181603,0.009137741,0.44919431,
6/10/21,86,5,9194,58,1,8240,16,14,1193974,1187423,0.008259722,0.451403373,
6/11/21,76,8,8144,82,3,8064,17,12,1199677,1192842,0.009748272,0.453511592,
6/12/21,40,5,14658,48,4,9588,18,13,1203204,1197200,0.003629465,0.455006226,
6/13/21,56,2,11766,60,2,6959,16,13,1206900,1201297,0.006194927,0.45648342,
6/14/21,27,0,8461,25,3,5004,14,13,1219467,1209632,0.003861864,0.460445478,
6/15/21,30,10,11747,44,2,6457,13,12,1228382,1216926,0.004065041,0.46351796,
6/16/21,71,0,12794,60,13,7566,13,13,1234026,1222692,0.006434185,0.465680771,
6/17/21,56,3,12472,16,2,8390,11,12,1240614,1229545,0.003451251,0.468228567,
6/18/21,25,2,12025,-3,3,8421,8,10,1243378,1232850,0.001076005,0.46937897,
6/19/21,43,2,11065,57,0,7960,8,10,1248977,1238491,0.005256242,0.471509557,
6/20/21,39,1,11558,30,0,6974,9,9,1251287,1240626,0.003723289,0.472352125,
6/21/21,27,2,4766,32,1,4216,8,8,1254568,1243997,0.006568693,0.473613038,
6/22/21,42,0,10971,16,2,5917,9,8,1257426,1247456,0.003434391,0.474810451,
6/23/21,43,1,15587,26,0,7801,9,9,1261507,1251881,0.002950231,0.476422797,
6/24/21,38,5,14657,35,0,9078,8,8,1266511,1257218,0.003075627,0.478382975,
6/25/21,56,1,19458,30,2,9922,9,8,1278634,1269037,0.002927161,0.482921278,
6/26/21,40,3,10092,50,2,6189,8,8,1293442,1282612,0.005527916,0.488301389,
6/27/21,13,0,10798,21,2,6398,8,8,1294704,1283616,0.001977204,0.488730919,
6/28/21,21,-1,5679,25,1,2080,8,8,1297520,1286657,0.005928599,0.489841137,
6/29/21,29,5,15189,37,0,8800,8,10,1300906,1290502,0.002751261,0.491211802,
6/30/21,30,0,14445,20,2,7215,9,10,1304234,1294174,0.002308403,0.49253868,
7/1/21,58,1,8743,65,0,6596,8,9,1307143,1297508,0.008018776,0.493722066,
7/2/21,15,-1,10066,34,2,6959,8,8,1310076,1300715,0.00287812,0.494885927,
7/3/21,53,2,9923,52,0,6958,8,8,1312453,1303280,0.006220011,0.495822703,
7/4/21,5,1,2340,10,1,2309,8,9,1313642,1304408,0.0032265,0.4962619,
7/5/21,9,0,1114,8,0,1282,8,9,1313805,1304652,0.007095159,0.496339048,
7/6/21,99,5,12061,89,9,8864,8,8,1315777,1306392,0.008984468,0.497042673,
7/7/21,64,2,5568,28,1,4266,8,9,1318533,1309971,0.009355298,0.498243498,
7/8/21,88,3,6763,62,1,6304,8,11,1321479,1313035,0.011479299,0.499382717,
7/9/21,87,1,9331,95,2,7660,8,11,1324179,1316033,0.010711553,0.500462796,
7/10/21,60,2,10541,52,0,8148,8,11,1326526,1318371,0.00599283,0.501350857,
7/11/21,69,-1,8399,73,3,6032,9,11,1328056,1320307,0.009839928,0.502007851,
7/12/21,60,0,5481,50,3,3529,10,12,1331184,1323394,0.012208657,0.503185929,
7/13/21,62,4,6954,46,3,5724,9,12,1333595,1326169,0.008518694,0.504168956,
7/14/21,94,0,7775,75,0,5837,10,12,1335945,1328665,0.012415516,0.505087535,
7/15/21,114,1,9664,104,1,6901,11,11,1338087,1331207,0.013160278,0.505975406,
7/16/21,80,0,9237,67,1,5982,10,10,1340224,1333847,0.009658979,0.506880906,
7/17/21,122,5,8451,152,2,6435,11,11,1342083,1335858,0.018406556,0.50761448,
7/18/21,187,-1,8857,167,0,7002,11,12,1343492,1337177,0.02232171,0.508131583,
7/19/21,114,1,5710,97,1,4771,11,13,1345438,1339438,0.020131667,0.508929037,
7/20/21,64,2,5895,53,1,3947,12,14,1348058,1342258,0.011887828,0.509960211,
7/21/21,138,0,7757,133,0,5510,12,15,1350277,1344924,0.020426622,0.510886182,
7/22/21,291,1,11254,229,1,8415,13,16,1351674,1346685,0.026437541,0.511484794,
7/23/21,301,0,8362,192,1,6293,14,17,1353229,1348505,0.033640396,0.512124539,
7/24/21,157,0,10578,157,0,8221,14,16,1354254,1349575,0.016703016,0.512521654,
