Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
06/06/2020,170,20,38,18,33,22,36,28,20,9,4,0,88,82,0,91,1,31,27,8,12,0,0,1,1,0,7,7,4,0,7,13,0,8,1,9,2,0,0,0,6,5,4,5,10,2,6,0,12,26,0,16,0,13,8,0,1
11/15/2021,691,5,37,194,121,144,99,67,35,20,11,0,343,338,10,104,11,175,217,54,130,0,0,0,0,0,2,1,2,0,4,1,0,1,0,2,2,0,0,1,5,4,4,5,8,4,6,0,20,17,0,7,2,16,8,0,4
02/05/2021,403,8,44,49,101,73,52,54,36,22,16,0,205,196,2,126,24,84,104,20,45,0,0,1,0,1,3,0,3,0,4,4,0,3,0,4,1,0,0,1,2,5,6,5,8,8,9,0,26,18,0,12,2,23,7,0,0
10/23/2020,1016,4,65,126,251,188,173,134,90,37,16,1,543,468,5,315,33,208,325,34,101,0,0,0,0,0,0,0,4,0,3,1,0,2,0,1,1,0,0,3,5,8,4,12,17,11,5,0,33,32,0,17,2,22,21,0,3
06/08/2020,274,15,43,21,63,48,49,41,24,15,13,0,137,135,2,146,3,52,41,7,25,0,0,1,1,2,2,3,6,0,6,9,0,5,1,5,3,1,0,2,7,2,7,9,5,5,6,0,22,21,0,16,2,14,10,0,1
04/04/2020,327,23,159,2,34,39,61,70,63,33,25,0,153,174,0,71,16,152,48,15,25,0,0,0,3,4,5,4,7,0,14,9,0,3,1,14,4,1,0,0,4,11,22,33,44,24,21,0,77,82,0,40,10,78,25,5,1
09/06/2020,143,2,11,16,44,30,17,18,10,3,5,0,72,71,0,57,0,29,46,5,6,0,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,1,2,0,3,2,2,0,7,4,0,4,0,5,2,0,0
11/24/2021,674,6,51,140,147,129,105,61,54,30,8,0,323,345,6,111,31,145,187,69,131,0,0,0,1,0,0,1,4,0,3,3,0,2,0,3,1,0,0,1,4,5,3,9,11,13,5,0,28,23,0,10,1,23,16,1,0
08/27/2021,543,3,37,95,151,109,71,52,38,15,12,0,291,252,0,123,11,158,157,11,83,0,0,0,0,0,0,0,3,0,1,2,0,1,0,0,2,0,0,0,4,3,5,5,9,4,7,0,20,17,0,7,0,18,9,1,2
04/11/2020,397,33,142,7,53,71,65,83,54,38,26,0,184,213,0,114,17,157,59,14,36,0,0,1,1,6,7,10,8,0,15,18,0,8,2,21,2,0,0,2,3,7,16,29,33,32,20,0,57,85,0,38,5,75,17,5,2
03/30/2021,737,3,42,93,258,144,90,77,58,12,5,0,378,358,1,170,42,164,286,18,57,0,0,1,0,0,0,1,1,0,0,3,0,1,1,0,1,0,0,0,2,3,10,8,11,6,2,0,23,19,0,15,2,19,6,0,0
07/10/2020,345,6,29,35,120,74,51,24,18,18,5,0,169,174,2,105,7,111,77,11,34,0,0,0,0,2,1,2,1,0,1,5,0,3,0,2,1,0,0,0,3,3,0,5,3,11,4,0,14,15,0,6,0,17,6,0,0
07/03/2020,175,5,29,14,52,36,26,18,16,9,4,0,106,68,1,52,2,48,45,9,19,0,0,0,0,0,2,1,2,0,3,2,0,1,0,4,0,0,0,4,2,2,6,3,4,5,3,0,12,17,0,5,0,15,5,2,2
05/18/2020,945,33,113,67,235,152,190,149,83,46,23,0,496,441,8,515,12,181,93,26,118,0,0,2,2,2,5,10,12,0,13,20,0,10,1,13,9,0,0,1,14,11,15,21,13,22,16,0,52,61,0,46,0,49,16,1,1
06/10/2020,233,12,29,10,57,46,31,36,26,18,9,0,129,101,3,114,5,52,34,4,24,0,0,1,2,2,1,4,2,0,5,7,0,5,1,6,0,0,0,0,1,3,2,8,3,6,6,0,17,12,0,7,1,16,5,0,0
10/03/2021,206,4,27,46,40,36,24,27,20,9,4,0,103,103,0,34,8,55,79,8,22,0,0,0,0,1,2,0,1,0,0,4,0,1,0,1,2,0,0,0,4,2,3,3,3,10,2,0,16,11,0,3,1,15,6,1,1
12/27/2021,8763,17,229,1444,2061,1888,1314,980,654,283,138,1,4787,3856,120,1767,323,2086,1787,645,2155,0,0,0,0,2,5,4,6,0,6,11,0,3,1,9,4,0,0,13,20,26,29,30,52,32,27,0,129,100,0,45,4,117,42,7,14
02/17/2021,386,8,33,36,119,70,70,47,24,10,10,0,193,193,0,122,9,80,120,14,41,0,0,0,0,1,2,2,3,0,2,6,0,1,0,2,4,0,1,1,2,1,6,6,8,6,3,0,14,19,0,6,0,17,9,1,0
02/01/2022,407,2,,108,65,75,59,35,23,28,14,0,232,172,3,95,31,62,122,21,76,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,
07/23/2020,319,3,29,33,101,68,43,36,17,12,9,0,190,128,1,95,14,84,87,15,24,0,0,0,1,0,0,2,0,0,2,1,0,1,0,2,0,0,0,0,4,6,3,5,3,5,3,0,15,14,0,14,1,10,3,1,0
11/25/2020,1834,17,110,260,432,354,257,237,165,84,45,0,970,858,6,654,54,360,413,82,271,0,0,1,1,0,3,6,6,0,4,13,0,8,0,4,5,0,0,2,7,8,11,19,26,17,20,0,57,53,0,38,5,33,27,5,2
09/27/2021,472,6,37,121,99,90,47,55,40,10,10,0,247,223,2,101,13,139,149,25,45,0,0,1,1,0,2,1,1,0,1,5,0,1,1,3,1,0,0,0,3,6,3,10,8,4,3,0,21,16,0,4,2,17,10,1,3
12/02/2021,1069,8,66,231,252,215,134,118,70,30,19,0,575,487,7,185,23,253,305,109,194,0,0,0,0,0,4,3,1,0,4,4,0,2,0,6,0,0,0,0,10,6,9,9,10,12,10,0,41,25,0,13,0,33,17,2,1
07/20/2021,187,3,12,33,46,50,27,17,7,5,2,0,98,89,0,29,7,54,59,8,30,0,0,0,0,2,0,1,0,0,1,2,0,0,0,3,0,0,0,0,2,1,3,2,0,2,2,0,6,6,0,4,0,6,1,1,0
06/03/2021,96,7,16,20,20,19,14,10,6,6,1,0,48,48,0,20,4,46,16,0,10,0,0,0,1,0,2,4,0,0,4,3,0,3,1,2,1,0,0,2,1,3,2,2,3,2,1,0,8,8,0,2,1,11,1,0,1
05/28/2020,524,22,70,41,111,90,98,69,62,27,26,0,262,258,4,245,10,133,69,11,56,0,0,0,1,5,1,4,11,0,11,11,0,10,0,7,5,0,0,4,2,10,7,9,15,8,15,0,34,36,0,31,2,23,12,0,2
09/01/2020,330,3,17,34,97,70,38,45,32,8,6,0,177,153,0,139,6,60,86,7,32,0,0,0,0,0,2,1,0,0,2,1,0,2,0,0,1,0,0,0,1,2,7,2,2,1,2,0,8,9,0,5,0,8,2,1,1
09/04/2021,344,5,32,69,71,73,52,35,34,7,3,0,186,157,1,59,13,106,98,17,51,0,0,1,0,0,1,2,1,0,0,5,0,2,0,2,1,0,0,0,4,5,3,10,6,2,2,0,25,7,0,8,1,14,7,1,1
01/11/2022,4424,25,194,1016,818,754,603,523,400,193,116,1,2417,1985,22,1128,218,778,1085,310,905,0,0,0,1,3,2,5,14,0,9,16,0,6,1,12,6,0,0,6,10,16,20,26,36,38,42,0,100,94,0,39,5,90,45,7,8
